STATION,DATE,REPORT_TYPE,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity
74486094789,2017-01-03T11:51:00,FM-15,,,
74486094789,2017-01-03T12:51:00,FM-15,,,
74486094789,2017-01-03T13:00:00,FM-12,,,
74486094789,2017-01-03T13:51:00,FM-15,,,
74486094789,2017-01-03T14:51:00,FM-15,,,
74486094789,2017-01-03T15:51:00,FM-15,,,
74486094789,2017-01-03T16:00:00,FM-12,,,
74486094789,2017-01-03T16:51:00,FM-15,,,
74486094789,2017-01-03T17:51:00,FM-15,,,
74486094789,2017-01-03T18:51:00,FM-15,,,
74486094789,2017-01-03T19:00:00,FM-12,,,
74486094789,2017-01-03T19:51:00,FM-15,,,
74486094789,2017-01-03T20:51:00,FM-15,,,
74486094789,2017-01-03T21:49:00,FM-16,,,
74486094789,2017-01-03T21:51:00,FM-15,,,
74486094789,2017-01-03T22:00:00,FM-12,,,
74486094789,2017-01-03T22:47:00,FM-16,,,
74486094789,2017-01-03T22:51:00,FM-15,,,
74486094789,2017-01-03T23:49:00,FM-16,,,
74486094789,2017-01-03T23:51:00,FM-15,,,
74486094789,2017-01-03T23:59:00,SOD  ,40,44,84
74486094789,2017-01-04T00:51:00,FM-15,,,
74486094789,2017-01-04T01:00:00,FM-12,,,
74486094789,2017-01-04T01:51:00,FM-15,,,
74486094789,2017-01-04T02:51:00,FM-15,,,
74486094789,2017-01-04T03:51:00,FM-15,,,
74486094789,2017-01-04T04:00:00,FM-12,,,
74486094789,2017-01-04T04:43:00,FM-16,,,
74486094789,2017-01-04T04:51:00,FM-15,,,
74486094789,2017-01-04T05:49:00,FM-16,,,
74486094789,2017-01-04T05:51:00,FM-15,,,
74486094789,2017-01-04T06:51:00,FM-15,,,
74486094789,2017-01-04T07:00:00,FM-12,,,
74486094789,2017-01-04T07:51:00,FM-15,,,
74486094789,2017-01-04T08:24:00,FM-16,,,
74486094789,2017-01-04T08:51:00,FM-15,,,
74486094789,2017-01-04T09:32:00,FM-16,,,
74486094789,2017-01-04T09:51:00,FM-15,,,
74486094789,2017-01-04T10:00:00,FM-12,,,
74486094789,2017-01-04T10:28:00,FM-16,,,
74486094789,2017-01-04T10:51:00,FM-15,,,
74486094789,2017-01-04T11:51:00,FM-15,,,
74486094789,2017-01-04T12:06:00,FM-16,,,
74486094789,2017-01-04T12:49:00,FM-16,,,
74486094789,2017-01-04T12:51:00,FM-15,,,
74486094789,2017-01-04T13:00:00,FM-12,,,
74486094789,2017-01-04T13:51:00,FM-15,,,
74486094789,2017-01-04T14:51:00,FM-15,,,
74486094789,2017-01-04T15:51:00,FM-15,,,
74486094789,2017-01-04T16:00:00,FM-12,,,
74486094789,2017-01-04T16:51:00,FM-15,,,
74486094789,2017-01-04T17:51:00,FM-15,,,
74486094789,2017-01-04T18:51:00,FM-15,,,
74486094789,2017-01-04T19:00:00,FM-12,,,
74486094789,2017-01-04T19:51:00,FM-15,,,
74486094789,2017-01-04T20:51:00,FM-15,,,
74486094789,2017-01-04T21:51:00,FM-15,,,
74486094789,2017-01-04T22:00:00,FM-12,,,
74486094789,2017-01-04T22:51:00,FM-15,,,
74486094789,2017-01-04T23:51:00,FM-15,,,
74486094789,2017-01-04T23:59:00,SOD  ,29,45,58
74486094789,2017-01-05T00:51:00,FM-15,,,
74486094789,2017-01-05T01:00:00,FM-12,,,
74486094789,2017-01-05T01:51:00,FM-15,,,
74486094789,2017-01-05T02:51:00,FM-15,,,
74486094789,2017-01-05T03:51:00,FM-15,,,
74486094789,2017-01-05T04:00:00,FM-12,,,
74486094789,2017-01-05T04:51:00,FM-15,,,
74486094789,2017-01-05T05:51:00,FM-15,,,
74486094789,2017-01-05T06:51:00,FM-15,,,
74486094789,2017-01-05T07:00:00,FM-12,,,
74486094789,2017-01-05T07:51:00,FM-15,,,
74486094789,2017-01-05T08:51:00,FM-15,,,
74486094789,2017-01-05T09:51:00,SY-MT,,,
74486094789,2017-01-05T10:51:00,FM-15,,,
74486094789,2017-01-05T11:51:00,FM-15,,,
74486094789,2017-01-05T12:51:00,FM-15,,,
74486094789,2017-01-05T13:00:00,FM-12,,,
74486094789,2017-01-05T13:51:00,FM-15,,,
74486094789,2017-01-05T14:51:00,FM-15,,,
74486094789,2017-01-05T15:51:00,FM-15,,,
74486094789,2017-01-05T16:00:00,FM-12,,,
74486094789,2017-01-05T16:51:00,FM-15,,,
74486094789,2017-01-05T17:51:00,FM-15,,,
74486094789,2017-01-05T18:51:00,FM-15,,,
74486094789,2017-01-05T19:00:00,FM-12,,,
74486094789,2017-01-05T19:51:00,FM-15,,,
74486094789,2017-01-05T20:51:00,FM-15,,,
74486094789,2017-01-05T21:51:00,FM-15,,,
74486094789,2017-01-05T22:00:00,FM-12,,,
74486094789,2017-01-05T22:51:00,FM-15,,,
74486094789,2017-01-05T23:51:00,FM-15,,,
74486094789,2017-01-05T23:59:00,SOD  ,8,32,37
74486094789,2017-01-06T00:51:00,FM-15,,,
74486094789,2017-01-06T01:00:00,FM-12,,,
74486094789,2017-01-06T01:08:00,FM-16,,,
74486094789,2017-01-06T01:49:00,FM-16,,,
74486094789,2017-01-06T01:51:00,FM-15,,,
74486094789,2017-01-06T02:51:00,FM-15,,,
74486094789,2017-01-06T03:48:00,FM-16,,,
74486094789,2017-01-06T03:51:00,FM-15,,,
74486094789,2017-01-06T04:00:00,FM-12,,,
74486094789,2017-01-06T04:51:00,FM-15,,,
74486094789,2017-01-06T05:51:00,FM-15,,,
74486094789,2017-01-06T06:51:00,FM-15,,,
74486094789,2017-01-06T07:00:00,FM-12,,,
74486094789,2017-01-06T07:23:00,FM-16,,,
74486094789,2017-01-06T07:51:00,FM-15,,,
74486094789,2017-01-06T08:51:00,FM-15,,,
74486094789,2017-01-06T09:15:00,FM-16,,,
74486094789,2017-01-06T09:16:00,FM-16,,,
74486094789,2017-01-06T09:51:00,FM-15,,,
74486094789,2017-01-06T10:00:00,FM-12,,,
74486094789,2017-01-06T10:51:00,FM-15,,,
74486094789,2017-01-06T11:51:00,FM-15,,,
74486094789,2017-01-06T12:51:00,FM-15,,,
74486094789,2017-01-06T13:00:00,FM-12,,,
74486094789,2017-01-06T13:51:00,FM-15,,,
74486094789,2017-01-06T14:51:00,FM-15,,,
74486094789,2017-01-06T15:51:00,FM-15,,,
74486094789,2017-01-06T16:00:00,FM-12,,,
74486094789,2017-01-06T16:51:00,FM-15,,,
74486094789,2017-01-06T17:51:00,FM-15,,,
74486094789,2017-01-06T18:51:00,FM-15,,,
74486094789,2017-01-06T19:00:00,FM-12,,,
74486094789,2017-01-06T19:51:00,FM-15,,,
74486094789,2017-01-06T20:51:00,FM-15,,,
74486094789,2017-01-06T21:51:00,FM-15,,,
74486094789,2017-01-06T22:00:00,FM-12,,,
74486094789,2017-01-06T22:51:00,FM-15,,,
74486094789,2017-01-06T23:51:00,FM-15,,,
74486094789,2017-01-06T23:59:00,SOD  ,15,32,52
74486094789,2017-01-07T00:51:00,FM-15,,,
74486094789,2017-01-07T01:00:00,FM-12,,,
74486094789,2017-01-07T01:51:00,FM-15,,,
74486094789,2017-01-07T02:51:00,FM-15,,,
74486094789,2017-01-07T03:51:00,FM-15,,,
74486094789,2017-01-07T04:00:00,FM-12,,,
74486094789,2017-01-07T04:51:00,FM-15,,,
74486094789,2017-01-07T05:51:00,FM-15,,,
74486094789,2017-01-07T06:51:00,FM-15,,,
74486094789,2017-01-07T07:00:00,FM-12,,,
74486094789,2017-01-07T07:51:00,FM-15,,,
74486094789,2017-01-07T08:51:00,FM-15,,,
74486094789,2017-01-07T09:10:00,FM-16,,,
74486094789,2017-01-07T09:32:00,FM-16,,,
74486094789,2017-01-07T09:51:00,FM-15,,,
74486094789,2017-01-07T10:00:00,FM-12,,,
74486094789,2017-01-07T10:51:00,FM-15,,,
74486094789,2017-01-07T11:51:00,FM-15,,,
74486094789,2017-01-07T12:08:00,FM-16,,,
74486094789,2017-01-07T12:34:00,FM-16,,,
74486094789,2017-01-07T12:45:00,FM-16,,,
74486094789,2017-01-07T12:51:00,FM-15,,,
74486094789,2017-01-07T13:00:00,FM-12,,,
74486094789,2017-01-07T13:17:00,FM-16,,,
74486094789,2017-01-07T13:33:00,FM-16,,,
74486094789,2017-01-07T13:51:00,FM-15,,,
74486094789,2017-01-07T13:58:00,FM-16,,,
74486094789,2017-01-07T14:08:00,FM-16,,,
74486094789,2017-01-07T14:31:00,FM-16,,,
74486094789,2017-01-07T14:35:00,FM-16,,,
74486094789,2017-01-07T14:51:00,FM-15,,,
74486094789,2017-01-07T15:51:00,FM-15,,,
74486094789,2017-01-07T16:00:00,FM-12,,,
74486094789,2017-01-07T16:51:00,FM-15,,,
74486094789,2017-01-07T17:51:00,FM-15,,,
74486094789,2017-01-07T18:51:00,FM-15,,,
74486094789,2017-01-07T19:00:00,FM-12,,,
74486094789,2017-01-07T19:40:00,FM-16,,,
74486094789,2017-01-07T19:51:00,FM-15,,,
74486094789,2017-01-07T20:48:00,FM-16,,,
74486094789,2017-01-07T20:51:00,FM-15,,,
74486094789,2017-01-07T21:51:00,FM-15,,,
74486094789,2017-01-07T22:00:00,FM-12,,,
74486094789,2017-01-07T22:08:00,FM-16,,,
74486094789,2017-01-07T22:51:00,FM-15,,,
74486094789,2017-01-07T23:51:00,FM-15,,,
74486094789,2017-01-07T23:59:00,SOD  ,11,24,63
